person_income,loan_int_rate,loan_amnt
10.473449632525694,9.32,100.0
11.002099841204238,6.91,83.66600265340756
10.727662995502477,10.99,44.721359549995796
11.84939770159144,7.88,109.54451150103323
9.852194258148577,7.88,59.16079783099616
11.589886506106357,12.18,136.01470508735443
11.05089000537367,7.51,74.16198487095663
11.695247021764184,11.66,97.46794344808964
10.491274217438248,9.88,31.622776601683793
10.308952660644293,7.74,74.83314773547883
11.695247021764184,9.99,100.0
12.196885573321005,5.79,70.71067811865476
11.589886506106357,12.53,141.4213562373095
11.018629143155449,9.99,109.54451150103323
9.998797732340453,16.32,70.71067811865476
11.695247021764184,7.14,83.66600265340756
9.862665558015873,10.99,83.66600265340756
10.691944912900398,7.51,92.19544457292888
10.819778284410283,12.18,44.721359549995796
10.668955394675699,5.79,100.0
10.126631103850338,9.62,70.71067811865476
11.002099841204238,11.66,40.0
11.002099841204238,15.62,147.39402972983675
10.596634733096073,12.69,63.245553203367585
10.596634733096073,18.07,63.245553203367585
10.457372665762566,11.99,70.71067811865476
10.225571051705241,11.12,54.772255750516614
11.06663836234181,11.66,100.0
11.695247021764184,12.99,141.4213562373095
10.348173373797573,14.59,31.622776601683793
11.230562553996048,7.74,78.26237921249263
9.903487552536127,10.99,57.0087712549569
10.085809109330082,15.7,92.19544457292888
10.491274217438248,10.99,105.83005244258362
10.968198289528557,13.55,158.11388300841898
11.127262984158243,11.78,122.47448713915891
10.895126915200132,5.99,107.23805294763608
10.499573020252942,6.99,94.86832980505137
11.002099841204238,11.36,100.0
11.041320554357519,5.42,109.54451150103323
10.31374117737609,12.84,134.16407864998737
10.645424897265505,11.49,67.08203932499369
10.950806546816688,17.27,122.47448713915891
10.491274217438248,10.36,74.16198487095663
10.968198289528557,10.99,83.66600265340756
11.626254150277232,14.61,158.11388300841898
10.308952660644293,10.99,70.71067811865476
10.778956289890028,10.99,105.83005244258362
10.085809109330082,6.62,60.0
10.691944912900398,12.18,52.20153254455275
10.325481962595504,11.49,80.0
10.555812738575819,17.58,86.60254037844386
10.571316925111784,14.91,89.44271909999159
11.156250521031495,12.69,178.39562774911272
11.082142548877775,12.42,94.86832980505137
10.491274217438248,5.99,60.0
11.05089000537367,14.42,126.49110640673517
10.275051108968611,15.62,64.8074069840786
10.465956409453957,13.47,94.86832980505137
10.519132545566643,6.54,94.86832980505137
11.136747277486958,10.99,70.71067811865476
11.626254150277232,12.69,77.45966692414834
9.996431298178866,10.99,63.245553203367585
10.404171927225226,5.79,100.0
11.082142548877775,6.03,100.0
10.839580911706463,7.14,31.622776601683793
10.410305154904579,11.49,100.0
10.896739325546411,7.51,34.64101615137755
10.819778284410283,13.98,109.54451150103323
10.621424901903293,10.99,63.245553203367585
11.42030566285212,6.62,100.0
10.596634733096073,13.43,70.88723439378913
10.373491181781864,10.99,122.47448713915891
12.114505452004684,5.42,111.80339887498948
11.532728092266408,13.85,141.4213562373095
11.77528972943772,8.0,94.86832980505137
11.711776323715394,13.57,100.0
10.59653472809574,7.51,100.0
12.429216196844383,13.49,158.11388300841898
9.77996306625063,13.11,70.71067811865476
10.799575577092764,10.74,83.66600265340756
11.571194373094205,10.99,100.0
10.668955394675699,10.75,120.41594578792295
10.586584397242571,12.69,38.72983346207417
10.085809109330082,13.16,110.67971810589327
10.60905725309463,12.23,109.54451150103323
10.929529148369403,14.17,59.16079783099616
11.512925464970229,9.99,77.45966692414834
11.27720313144916,5.99,89.44271909999159
11.082142548877775,11.49,100.0
11.014933799184323,16.49,100.0
10.803648902480399,16.49,77.45966692414834
11.127262984158243,7.88,128.4523257866513
11.26446410567173,7.88,73.48469228349535
11.06663836234181,10.99,109.54451150103323
10.896739325546411,13.99,73.48469228349535
10.979342854081622,10.59,141.4213562373095
11.515920973950028,14.83,158.11388300841898
9.8528256377339,14.61,59.16079783099616
11.184421397998193,12.42,118.32159566199232
11.149082031552883,7.49,121.4495780149112
11.695247021764184,14.59,100.0
11.407564949312402,7.88,72.97259759663213
11.608235644774552,9.63,60.41522986797286
10.915088464214607,8.9,77.45966692414834
10.819778284410283,13.22,141.4213562373095
11.532728092266408,10.0,134.16407864998737
11.018629143155449,15.99,82.46211251235322
11.03488966402723,5.79,109.54451150103323
10.82774645405946,15.99,83.66600265340756
10.915088464214607,7.51,114.0175425099138
10.308952660644293,10.99,89.44271909999159
10.858998997563564,11.78,89.44271909999159
9.798127036878302,10.75,89.44271909999159
10.950806546816688,14.46,97.97958971132712
11.49272275765271,11.49,94.86832980505137
11.532728092266408,13.49,153.62291495737216
10.596634733096073,10.99,109.54451150103323
11.177452728682098,10.99,122.47448713915891
